subject_code,question_text,marks,option_a,option_b,option_c,option_d,correct_option_label
PSR-101,What is the minimum age for recruitment into the Federal Public Service?,1,16 years,18 years,21 years,25 years,B
PSR-101,What is the maximum age for a new entrant into a pensionable appointment?,1,35 years,45 years,50 years,60 years,C
PSR-101,An officer on probation is required to serve for how many years before confirmation?,1,1 year,2 years,3 years,5 years,B
PSR-101,Which of these is NOT a category of appointment defined in the PSR?,1,Trainee or Pupil,Contract appointment,Permanent and Pensionable,Honorary appointment,D
PSR-101,What is the duration of maternity leave for a pregnant female officer?,1,12 weeks,16 weeks (112 days),20 weeks,24 weeks,B
PSR-101,A male officer is entitled to how many days of Paternity Leave?,1,7 working days,14 working days,21 working days,30 working days,B
PSR-101,What is the annual leave entitlement for an officer on Grade Level 07 and above?,1,14 working days,21 working days,30 working days,42 working days,C
PSR-101,Casual leave is limited to a maximum of how many days in a leave year?,1,5 working days,7 calendar days,10 working days,14 working days,B
PSR-101,Sabbatical leave is available to officers on which grade level?,1,GL 12 and above,GL 14 and above,GL 15 and above,Only Permanent Secretaries,C
PSR-101,What is the frequency for sabbatical leave?,1,Once every 3 years,Once every 5 years,Once every 10 years,Once in a career,B
PSR-101,Which document is issued when an officer is transferred between Ministries to show their last pay date and deductions?,1,Record of Service,Last Pay Certificate (LPC),Variation Advice,Clearance Certificate,B
PSR-101,What is the mandatory retirement age for all grades in the Public Service?,1,55 years,60 years,65 years,70 years,B
PSR-101,Retirement from service can also be triggered by completing how many years of pensionable service?,1,25 years,30 years,35 years,40 years,C
PSR-101,Which of the following is considered an act of Serious Misconduct?,1,Habitual lateness,Improper dressing,Falsification of records,Discourteous behavior,C
PSR-101,What is the ultimate penalty for serious misconduct?,1,Surcharge,Reduction in rank,Termination,Dismissal,D
PSR-101,Interdiction means an officer is placed on what portion of their salary?,1,No salary,One-quarter salary,Half salary,Full salary,C
PSR-101,An officer suspended due to criminal proceedings is entitled to what portion of their salary?,1,Half salary,Full salary,No salary,Two-thirds salary,C
PSR-101,How many days does an officer have to respond to an audit query?,1,7 days,14 days,21 days,30 days,C
PSR-101,Who is the Head of the Federal Government Accounting Services and the Treasury?,1,Minister of Finance,Auditor-General for the Federation,Accountant-General of the Federation,Governor of the CBN,C
PSR-101,Who is the Accounting Officer in a Ministry?,1,The Minister,The Director of Finance,The Permanent Secretary,The Internal Auditor,C
PSR-101,What percentage of Internally Generated Revenue (IGR) must fully funded federal agencies remit to the CRF?,1,25%,50%,80%,100%,D
PSR-101,Sub-Accounting Officers must submit monthly financial returns by what day of the following month?,1,7th day,10th day,14th day,21st day,C
PSR-101,What is the term for a sum advanced to a public officer to meet expenditure for which vouchers cannot be immediately presented?,1,Advance,Deposit,Imprest,Virement,C
PSR-101,Standing Imprests must be retired on or before which date?,1,31st March,30th June,30th September,31st December,D
PSR-101,What is the mandatory employee contribution rate to the Pension Scheme?,1,5%,7.5%,8%,10%,C
PSR-101,What is the minimum contribution rate by the Government (Employer) to the Pension Scheme?,1,8%,10%,12%,15%,B
PSR-101,Which category of staff is exempted from the Contributory Pension Scheme?,1,Junior Staff,Officers on GL 17,Military Staff,Contract Staff,C
PSR-101,"Property, Plant and Equipment (PPE) are considered which type of assets?",1,Intangible assets,Tangible assets,Current assets,Liquid assets,B
PSR-101,"In the event of an accident involving a government vehicle, the driver must immediately report to whom?",1,The Minister,The Police,Head of Department or Division,The Accountant-General,C
PSR-101,What is the authority required for the write-off of federal funds?,1,Prerogative of the Minister of Finance,Head of Service,Auditor-General,Director of Finance,A
PSR-101,A surcharge can be justified when there is a degree of ________ on the part of the officer.,1,Efficiency,Culpability,Seniority,Loyalty,B
PSR-101,What is the maximum limit for an Accounting Officer to write off minor losses of stores?,1,"?50,000","?100,000","?250,000","?500,000",C
PSR-101,Boards of Survey for stores should be held at least how many times a year?,1,Once,Twice,Quarterly,Monthly,B
PSR-101,Which of these is a prohibited tool in accounting records to prevent forgery?,1,Ballpoint pen,Electronic signature,Correction fluid (Tippex),Stapler,C
PSR-101,Self-Accounting Status granted to an MDA is reviewed every how many years?,1,2 years,3 years,4 years,5 years,C
PSR-101,What is the penalty for splitting contracts to circumvent tender procedures?,1,Verbal warning,Reduction in rank,5 years imprisonment without option of fine,"Fine of ?10,000",C
PSR-101,General Inefficiency procedure requires an officer to be warned in writing how many times?,1,Once,Twice,Three times,Five times,C
PSR-101,An officer seeking elective office must tender their resignation how many months before the election?,1,1 month,3 months,6 months,12 months,B
PSR-101,Overtime allowance is payable to officers on which grade levels?,1,GL 01 - 06,GL 01 - 10,GL 14 and below,All officers regardless of level,C
PSR-101,What is the rate of Resettlement Allowance for an officer on transfer?,1,1% of annual total emolument,2% of annual total emolument,5% of annual total emolument,10% of annual total emolument,B
PSR-101,Who is the Political Head of a Parastatal or Agency?,1,The Minister,The Director-General,The Chairman of the Board,The President,C
PSR-101,Revenue Collectors must balance their cash book at what frequency?,1,Hourly,Daily,Weekly,Monthly,B
PSR-101,What is the timeframe for an officer to reply to a query on overpayment of salaries?,1,48 hours,7 days,21 days,30 days,C
PSR-101,The Pass Mark for a promotion examination is currently set at what percentage?,1,40%,50%,60%,75%,C
PSR-101,An officer must spend a minimum of how many years on post to be eligible for promotion from GL 07 to GL 14?,1,2 years,3 years,4 years,5 years,B
PSR-101,What is the effective date for all promotions in the Federal Public Service?,1,Date of the examination,Date of the letter,1st January of the year of the exercise,31st December of the year of the exercise,C
PSR-101,Which department is responsible for Asset Tracking and Management in the OAGF?,1,Finance and Accounts,Internal Audit,ATMPD,Inspectorate,C
PSR-101,The use of Liquid Paper is strictly prohibited in government documents to prevent what?,1,Wastage,Messy records,Forgery and falsification,Chemical reactions,C
PSR-101,A Brief in official communication should be:,1,As long as possible,Concise and constructive,Anonymous,Written in foul language,B
PSR-101,How often should the Financial Regulations be reviewed?,1,Every year,Every 2 years,Every 5 years,Every 10 years,C
