subject_code,question_text,marks,option_a,option_b,option_c,option_d,correct_option_label
PSR,Which of the following defines a Child of a public servant according to the sources?,1,Any relative under 21 living in the servant's house.,A biological or adopted offspring under 18 who is entirely dependent on the officer.,Any person for whom the officer pays school fees.,An offspring of the officer who is under 25 and currently enrolled in a university.,B
PSR,What is the minimum and maximum age range for recruitment into the Federal Public Service?,1,16 to 45 years.,18 to 45 years.,18 to 50 years.,21 to 55 years.,C
PSR,What is the standard duration of the probationary period for an officer on a new permanent and pensionable appointment?,1,1 year.,2 years.,3 years.,5 years.,B
PSR,Under what specific condition can a contract appointment be offered to a Nigerian citizen?,1,If they are over 50 years of age at the time of appointment.,If they are a new graduate under the age of 30.,If they specifically refuse to accept a pensionable post.,Only if they are expatriates married to Nigerians.,A
PSR,Which of the following acts is explicitly categorized as Serious Misconduct in the sources?,1,Habitual lateness to work.,Improper or inappropriate dressing while on duty.,Falsification of official records.,Discourteous behavior toward members of the public.,C
PSR,What is the maximum duration for an Acting Appointment in the first instance?,1,6 months.,1 year.,2 years.,Until the substantive holder returns from leave.,B
PSR,How many years of service on a post are required for an officer on GL 07 to GL 14 to be eligible for promotion?,1,2 years.,3 years.,4 years.,5 years.,B
PSR,What is the minimum score currently set as the Pass Mark for a promotion examination?,1,40%.,50%.,60%.,75%.,C
PSR,What is the mandatory retirement age or length of service for all grades in the Public Service?,1,"60 years of age or 35 years of pensionable service, whichever is earlier.",65 years of age or 40 years of service.,60 years of age regardless of the total years of service.,70 years of age for all academic and administrative staff.,A
PSR,"When an officer is placed on Interdiction, what portion of their salary are they entitled to receive?",1,No salary.,25% of their monthly salary.,50% of their monthly salary (Half pay).,75% of their monthly salary.,C
PSR,What is the total duration of Maternity Leave for a pregnant female officer?,1,12 weeks.,16 weeks (112 days).,20 weeks.,24 weeks.,B
PSR,A serving male officer is entitled to how many working days of Paternity Leave?,1,7 days.,14 working days.,21 days.,30 days.,B
PSR,What is the annual leave entitlement for an officer on Grade Level 07 and above?,1,14 working days.,21 working days.,30 working days.,42 working days.,C
PSR,What is the maximum aggregate of Casual Leave allowed within a single leave year?,1,5 working days.,7 calendar days.,10 calendar days.,14 working days.,B
PSR,Sabbatical leave for research and professional development is available to officers on which grade level?,1,GL 12 and above.,GL 14 and above.,GL 15 or its equivalent and above.,Only officers serving as Permanent Secretaries.,C
PSR,Study Leave with Pay is generally granted to a confirmed officer for a duration not exceeding:,1,1 year.,2 years.,3 years.,4 years.,B
PSR,"Before removal proceedings for General Inefficiency can begin, an officer must have been warned in writing how many times?",1,Once.,Twice.,Three times.,Five times.,C
PSR,"According to the sources, an officer seeking an elective office must tender their resignation how many months before the election?",1,1 month.,3 months.,6 months.,12 months.,B
PSR,What is the effective incremental date for an officer appointed or promoted in the Federal Public Service?,1,The exact anniversary date of their promotion letter.,1st January of the year following at least six months of service in that grade.,1st July of every calendar year.,31st December of the year in which the promotion exercise was conducted.,B
PSR,Which common service acronym stands for Keep in View?,1,KIV,KVP,KIP,KVM,A
PSR,"In official service communication, what does the acronym OBE represent?",1,Order of the British Empire.,Overtaken by Events.,Official Business Entry.,Obligatory Business Expense.,B
PSR,Who is designated as the Accounting Officer in a Federal Ministry?,1,The Honourable Minister.,The Director of Finance and Accounts.,The Permanent Secretary.,The Head of the Internal Audit Unit.,C
PSR,What percentage of Internally Generated Revenue (IGR) must federal agencies that are fully funded from the Treasury remit to the CRF?,1,25%.,50%.,80%.,100%.,D
PSR,Officers authorized to sign payment vouchers must not be below which rank?,1,Accountant I.,Senior Accountant.,Principal Accountant.,Director of Finance.,C
PSR,"To prevent forgery and falsification of records, the use of which item is strictly prohibited in government accounting?",1,Blue ballpoint ink.,"Correction fluid (e.g., TIPPEX or LIQUID PAPER).",Fountain pens.,Lead pencils.,B
PSR,All original payment vouchers and supporting documents must be stamped with what word immediately after a payment is made?,1,ENTERED.,VOID.,PAID.,AUDITED.,C
PSR,What is the formal term for a sum advanced to a public officer to meet expenditure for which vouchers cannot be immediately presented?,1,Personal Advance.,Security Deposit.,Imprest.,Budgetary Virement.,C
PSR,Standing Imprests must be retired on or before which specific date each financial year?,1,31st March.,30th June.,30th September.,31st December.,D
PSR,"According to the sources, for how many years must Original Payment Vouchers be retained after use?",1,2 years.,5 years.,7 years.,Permanently.,C
PSR,Which document must be issued under confidential cover when an officer is transferred between Ministries to show their last pay date and deductions?,1,Official Record of Service.,Last Pay Certificate (LPC).,Salary Variation Advice.,Ministerial Clearance Voucher.,B
PSR,The validity period for a Local Purchase Order (LPO) shall not exceed:,1,1 month.,3 months.,6 months.,12 months.,B
PSR,What is the maximum limit for an Accounting Officer of a Ministry to write off unserviceable motor vehicles in a financial year?,1,"?1,000,000.","?3,000,000.","?5,000,000.","?10,000,000.",D
PSR,What is the approved Estacode rate for an officer on Grade Levels 15–17?,1,US$206.,US$381.,US$425.,US$600.,C
PSR,What is the Duty Tour Allowance (DTA) for an officer on Grade Levels 14–15?,1,"?17,500.","?20,000.","?25,000.","?37,500.",C
PSR,Overtime allowance is payable to which category of officers in the Federal Public Service?,1,Officers on GL 01–06 only.,Officers on GL 07–10 only.,Officers on GL 14 and below.,"All officers, regardless of their Grade Level.",C
